from_type,from_id,to_type,to_id,flow
restaurant,266,center,190,93253.4152637237
restaurant,267,center,130,62120.3202105454
restaurant,268,center,16,72309.9459159826
restaurant,269,center,100,55011.8311885669
restaurant,270,center,195,52699.9142209663
restaurant,271,center,198,78601.728649074
restaurant,272,center,184,66905.2056478075
restaurant,273,center,104,92918.3183641934
restaurant,274,center,147,94538.0237000441
restaurant,275,center,138,99922.4923803693
restaurant,276,center,12,50584.6340671645
restaurant,277,center,16,80446.9932404662
restaurant,278,center,35,52542.47829028357
restaurant,278,center,69,33047.88379374123
restaurant,279,center,91,95604.164667374
restaurant,280,center,184,16851.0967894664
restaurant,281,center,118,60988.557391432
restaurant,282,center,149,66586.4561278926
restaurant,283,center,100,82021.8256973075
restaurant,284,center,64,52429.6464968155
restaurant,285,center,69,70549.0553171884
restaurant,286,center,4,60975.5925959823
restaurant,287,center,195,74976.0595403989
restaurant,288,center,18,45988.7243631418
restaurant,289,center,97,59246.4410515348
restaurant,290,center,2,10464.4631920619
restaurant,291,center,147,48292.3902474732
restaurant,292,center,2,71489.1526312665
restaurant,293,center,64,76490.9515100361
restaurant,294,center,190,57854.3325992635
restaurant,295,center,118,99259.872452079
restaurant,296,center,126,64562.7032947645
restaurant,297,center,61,81135.5641168745
restaurant,298,center,64,90693.5033122792
restaurant,299,center,18,70732.2137819798
restaurant,300,center,147,64006.6865690721
restaurant,301,center,16,71638.5173560283
restaurant,302,center,91,85693.4087221428
restaurant,303,center,4,62459.1352049466
restaurant,304,center,149,84686.7557426688
restaurant,305,center,170,34432.4462651729
restaurant,306,center,147,91352.7208191375
restaurant,307,center,87,86117.1332653213
restaurant,308,center,162,72942.5463238885
restaurant,309,center,4,59636.508423146
restaurant,310,center,16,84191.6602911689
restaurant,311,center,147,90872.900725793
restaurant,312,center,100,58336.0460916864
restaurant,313,center,190,78223.2232527874
restaurant,314,center,138,96541.9540994141
restaurant,315,center,147,62081.8176966061
restaurant,316,center,147,91209.3459599342
restaurant,317,center,104,128334.189774759
restaurant,318,center,87,56791.8387112907
restaurant,319,center,4,46291.7297155862
restaurant,320,center,2,50281.7307506927
restaurant,321,center,130,82501.8925584042
restaurant,322,center,149,72798.7783185172
restaurant,323,center,195,97292.8699907648
restaurant,324,center,69,84060.6022128654
restaurant,325,center,162,75506.6616176086
restaurant,326,center,4,58192.8019256809
restaurant,327,center,147,62699.0156188382
restaurant,328,center,87,56571.7383125712
restaurant,329,center,130,95773.0931627977
restaurant,330,center,4,55116.8397942867
restaurant,331,center,126,84874.3515963582
restaurant,332,center,149,84955.5847142941
restaurant,333,center,97,79670.0799200981
restaurant,334,center,75,96577.0677762762
restaurant,335,center,16,45559.8773937565
restaurant,336,center,184,42394.4504052128
restaurant,337,center,185,104797.880021137
restaurant,338,center,138,97346.2884712752
restaurant,339,center,100,44392.6309677233
restaurant,340,center,4,43436.3147375847
restaurant,341,center,147,62250.4221343344
restaurant,342,center,149,89877.9417977027
restaurant,343,center,16,68931.7549277844
restaurant,344,center,35,67065.5878781623
restaurant,345,center,126,105923.672591305
restaurant,346,center,35,25860.9440107917
restaurant,347,center,147,91100.916424773
restaurant,348,center,4,91658.8509540283
restaurant,349,center,16,86064.6099256971
restaurant,350,center,104,58732.8541199048
restaurant,351,center,91,91105.3729068335
restaurant,352,center,75,87463.2705927426
restaurant,353,center,147,104284.080618396
restaurant,354,center,147,106104.431500203
restaurant,355,center,147,47227.5432567046
restaurant,356,center,190,72678.449478393
restaurant,357,center,91,77647.2506186728
restaurant,358,center,147,86690.6073124334
restaurant,359,center,190,60921.3957376355
restaurant,360,center,195,24833.8829176262
restaurant,361,center,91,38919.4652823885
restaurant,362,center,16,67193.8311868289
restaurant,363,center,97,96700.5911416519
restaurant,364,center,170,38394.6596070878
restaurant,365,center,87,50208.995426889
restaurant,366,center,35,73739.5532739757
restaurant,367,center,87,109332.99615773
restaurant,368,center,87,55173.9671828008
restaurant,369,center,149,84153.9260067799
restaurant,370,center,147,62919.3435326289
restaurant,371,center,16,57398.2230074481
restaurant,372,center,100,74182.722304229
restaurant,373,center,195,41445.3602988616
restaurant,374,center,97,98816.2860472463
restaurant,375,center,97,72371.558221195
restaurant,376,center,118,48605.6659938856
restaurant,377,center,87,49722.78673403678
restaurant,377,center,130,38337.60818619722
restaurant,378,center,12,85188.9805927169
restaurant,379,center,16,108640.904611231
restaurant,380,center,87,41041.4543758767
restaurant,381,center,87,72961.0755569464
restaurant,382,center,87,40167.262503828
restaurant,383,center,16,63215.7870774126
restaurant,384,center,184,83423.6526676618
restaurant,385,center,35,65381.9569254789
restaurant,386,center,69,85852.5561644545
restaurant,387,center,97,89361.248422454
restaurant,388,center,35,105419.363618007
restaurant,389,center,149,101296.115571648
restaurant,390,center,91,74142.4206750987
restaurant,391,center,170,80117.5949907691
restaurant,392,center,16,58292.6399593463
restaurant,393,center,147,123032.063309056
restaurant,394,center,87,96011.7864449983
restaurant,395,center,87,109595.192989778
restaurant,396,center,85,52146.2394867261
restaurant,397,center,2,40124.77797935621
restaurant,397,center,91,49722.78672481819
restaurant,398,center,87,66559.1924285178
restaurant,399,center,100,76991.5727719353
restaurant,400,center,97,81730.7022207069
restaurant,401,center,185,103864.151755179
restaurant,402,center,75,71054.6176732211
restaurant,403,center,2,6300.531012121915
restaurant,403,center,87,49722.78672481819
restaurant,404,center,87,37938.4380584184
restaurant,405,center,61,72599.7485209322
restaurant,406,center,97,67111.4325657328
restaurant,407,center,162,96957.7663862911
restaurant,408,center,61,44715.6089229114
restaurant,409,center,18,42124.5838556798
restaurant,410,center,97,86231.6018976815
restaurant,411,center,97,133636.223149678
restaurant,412,center,126,46735.9927909995
restaurant,413,center,195,75332.3951650994
restaurant,414,center,18,80323.1313021269
restaurant,415,center,147,48730.173463711
restaurant,416,center,69,62040.304576134
restaurant,417,center,4,43608.5629199792
restaurant,418,center,97,69193.1759965697
restaurant,419,center,126,42892.1304786381
restaurant,420,center,87,58183.5327361453
restaurant,421,center,100,125958.771798676
restaurant,422,center,35,65663.8330925462
restaurant,423,center,2,76202.9095757665
restaurant,424,center,184,62487.2045834624
restaurant,425,center,184,54401.1497484161
restaurant,426,center,198,94854.6156538799
restaurant,427,center,2,107681.808916882
restaurant,428,center,35,10000.0
